date,value,production
2022-01-31,-4.869354838709677,132788391.33333334
2022-02-28,-3.566071428571429,216234377.4916667
2022-03-31,3.2225806451612904,10002341.325
2022-04-30,8.639999999999999,23056726.225
2022-05-31,16.488709677419354,4105422.1916666655
2022-06-30,22.926666666666662,24892385.433333334
2022-07-31,24.92419354838709,67840270.94166666
2022-08-31,23.537096774193547,25992395.5
2022-09-30,20.043333333333333,39462907.84166666
2022-10-31,11.45,25901141.816666663
2022-11-30,1.3649999999999998,127027354.40833332
2022-12-31,-6.432258064516129,29481888.916666668
2023-01-31,-5.837096774193548,132788391.33333334
